# Generated by tools/wikimedia_images.py on 2026-09-17. Do not edit by hand.
# Source: the lead image of each accepted car article, or a body image that names the car, via the MediaWiki API.
# Files are on Wikimedia Commons and each carries its OWN licence - see the licence column.
# No image is stored here or in the database. These are references and their attribution.
# article|file_name|repository|licence|licence_url|artist|credit|description_url|width|height|name_matches
AGS JH22|File:Manoir de l'Automobile - 198 - AGS F1 JH 22 1986-1987.jpg|shared|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Koreller|Own work|https://commons.wikimedia.org/wiki/File:Manoir_de_l%27Automobile_-_198_-_AGS_F1_JH_22_1986-1987.jpg|800|450|0
AGS JH23|File:Rétromobile 2017 - AGS JH23 - 1989 - 001.jpg|shared|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Thesupermat|Own work|https://commons.wikimedia.org/wiki/File:R%C3%A9tromobile_2017_-_AGS_JH23_-_1989_-_001.jpg|800|533|1
AGS JH24|File:AGS JH24 at the 2025 Italian Grand Prix.jpg|shared|CC BY 4.0|https://creativecommons.org/licenses/by/4.0|Eustace Bagge|Own work|https://commons.wikimedia.org/wiki/File:AGS_JH24_at_the_2025_Italian_Grand_Prix.jpg|800|533|1
AGS JH25B|File:Rétromobile 2024 (30) 20240204.jpg|shared|CC BY 4.0|https://creativecommons.org/licenses/by/4.0|WikiGenesis|Own work|https://commons.wikimedia.org/wiki/File:R%C3%A9tromobile_2024_(30)_20240204.jpg|800|1065|0
ATS D2|File:ATS D2.jpg|shared|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|Anna from Grassau, Deutschland|ATS Formel Rennwagen von Hans Joachim Stuck im EFA-Museum für Deutsche Automobilgeschichte in Amerang im Chiemgau|https://commons.wikimedia.org/wiki/File:ATS_D2.jpg|800|600|1
ATS D5|File:Grand Prix van NL op circuit van Zandvoort nr. 10 , 11 officials en politie la, Bestanddeelnr 253-8581.jpg|shared|CC0|http://creativecommons.org/publicdomain/zero/1.0/deed.en|Hans van Dijk for Anefo|http://proxy.handle.net/10648/ad8aa74a-d0b4-102d-bcf8-003048976d84|https://commons.wikimedia.org/wiki/File:Grand_Prix_van_NL_op_circuit_van_Zandvoort_nr._10_,_11_officials_en_politie_la,_Bestanddeelnr_253-8581.jpg|800|528|0
ATS D6|File:ATS D6 1.jpg|shared|CC BY 3.0|https://creativecommons.org/licenses/by/3.0|MPW57|Own work|https://commons.wikimedia.org/wiki/File:ATS_D6_1.jpg|800|309|1
ATS D7|File:Winkelhock ATS D7 1984 Dallas F1.jpg|shared|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|twm1340|1984 United States Grand Prix, Fair Park, Dallas, Texas|https://commons.wikimedia.org/wiki/File:Winkelhock_ATS_D7_1984_Dallas_F1.jpg|800|565|1
ATS HS1|File:Michael Bleekemolen test ATS-wagen voor Grand Prix op Zandvoort Bleekemolen in , Bestanddeelnr 929-8578.jpg|shared|CC0|http://creativecommons.org/publicdomain/zero/1.0/deed.en|Bert Verhoeff / Anefo|http://proxy.handle.net/10648/acba2250-d0b4-102d-bcf8-003048976d84|https://commons.wikimedia.org/wiki/File:Michael_Bleekemolen_test_ATS-wagen_voor_Grand_Prix_op_Zandvoort_Bleekemolen_in_,_Bestanddeelnr_929-8578.jpg|800|530|0
Alfa Romeo 158/159 Alfetta|File:Alfa-Romeo-159-(1951).jpg|shared|CC BY-SA 2.5|https://creativecommons.org/licenses/by-sa/2.5|Lennart Coopmans|Own work|https://commons.wikimedia.org/wiki/File:Alfa-Romeo-159-(1951).jpg|800|600|0
Alfa Romeo 177|File:Alfa Romeo 177 in Museo Storico Alfa Romeo.jpg|shared|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|traumautoarchiv.de|www.traumautoarchiv.de|https://commons.wikimedia.org/wiki/File:Alfa_Romeo_177_in_Museo_Storico_Alfa_Romeo.jpg|800|600|1
Alfa Romeo 179|File:Alfa Romeo 179D (8372467256).jpg|shared|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|Motor74|https://www.flickr.com/photos/35478177@N02/8372467256/in/photolist-dKR5PJ|https://commons.wikimedia.org/wiki/File:Alfa_Romeo_179D_(8372467256).jpg|800|493|1
Alfa Romeo 182|File:1982 F1 Alfa Romeo 182 B.JPG|shared|CC0|http://creativecommons.org/publicdomain/zero/1.0/deed.en|AlfvanBeem|Own work|https://commons.wikimedia.org/wiki/File:1982_F1_Alfa_Romeo_182_B.JPG|800|601|1
Alfa Romeo 183T|File:Alfa Romeo 183T Goodwood Festival of Speed 2012 (37256969).jpg|shared|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|Nic Redhead|Flickr : Alfa Romeo 183T|https://commons.wikimedia.org/wiki/File:Alfa_Romeo_183T_Goodwood_Festival_of_Speed_2012_(37256969).jpg|800|550|1
Alfa Romeo 184T|File:Cheever Alfa Romeo 184T 1984 Dallas F1.jpg|shared|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|twm1340|1984 United States Grand Prix, Fair Park, Dallas, Texas|https://commons.wikimedia.org/wiki/File:Cheever_Alfa_Romeo_184T_1984_Dallas_F1.jpg|800|513|1
Alfa Romeo 185T|File:Alfa Romeo 185T Museo Nazionale dell'Automobile di Torino.jpg|shared|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|tomislav medak|https://www.flickr.com/photos/tomislavmedak/3801222416/|https://commons.wikimedia.org/wiki/File:Alfa_Romeo_185T_Museo_Nazionale_dell%27Automobile_di_Torino.jpg|800|346|1
Alfa Romeo C42|File:FIA F1 Austria 2022 Nr. 77 Bottas.jpg|shared|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Lukas Raich|Own work|https://commons.wikimedia.org/wiki/File:FIA_F1_Austria_2022_Nr._77_Bottas.jpg|800|450|0
Alfa Romeo C43|File:FIA F1 Austria 2023 Nr. 24 (2).jpg|shared|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Lukas Raich|Own work|https://commons.wikimedia.org/wiki/File:FIA_F1_Austria_2023_Nr._24_(2).jpg|800|450|0
Alfa Romeo Racing C38|File:FIA F1 Austria 2019 Nr. 7 Räikkönen 1.jpg|shared|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Lukas Raich|Own work|https://commons.wikimedia.org/wiki/File:FIA_F1_Austria_2019_Nr._7_R%C3%A4ikk%C3%B6nen_1.jpg|800|450|0
Alfa Romeo Racing C39|File:2020 Formula One tests Barcelona, Alfa Romeo C39, Räikkönen.jpg|shared|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|Artes Max from Spain|Alfa Romeo C39 / Kimi Raikkonen / FIN / ​Alfa Romeo Racing ORLEN|https://commons.wikimedia.org/wiki/File:2020_Formula_One_tests_Barcelona,_Alfa_Romeo_C39,_R%C3%A4ikk%C3%B6nen.jpg|800|432|1
Alfa Romeo Racing C41|File:FIA F1 Austria 2021 Nr. 7 Räikkönen (side).jpg|shared|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Lukas Raich|Own work|https://commons.wikimedia.org/wiki/File:FIA_F1_Austria_2021_Nr._7_R%C3%A4ikk%C3%B6nen_(side).jpg|800|450|0
