# Generated by tools/wikispec_fetch.py on 2026-09-05. Do not edit by hand.
# Source: the per-car articles on en.wikipedia.org, {{Racing car}} infobox. CC BY-SA 4.0.
# Every row was checked against F1DB for constructor and seasons before it was written; see car_specs.log.
# article|chassis_ids|constructor_id|first_year|last_year|designers|chassis_type|susp_front|susp_rear|engine_name|engine_config|aspiration|engine_position|gearbox|gears|brakes|fuel|lubricants|tyres|predecessor|successor|debut|power_note|capacity_cc|power_bhp|weight_kg|wheelbase_mm|track_front_mm|track_rear_mm|fuel_l|races|wins|poles|fastest_laps|podiums|drivers_titles|constructors_titles
AGS JH22|ags-jh22|ags|1987|1987|Christian Vanderpleyn (Technical Director); Michel Costa (Chief Designer)|Carbon fibre and Aluminium monocoque|Double wishbones, springs, pushrods|Double wishbones, springs, pushrods|Cosworth DFZ|90° V8|NA|mid-engine, longitudinally mounted|Renault / Hewland|5/6-speed||Avgas / Atco||Goodyear|JH21|JH23|1987 Brazilian Grand Prix|590 bhp @ 11,500 rpm ; 434 N.m @ 6,900 rpm|3494|590|520|2870|1700|1700||16|0|0|0||0|0
AGS JH23|ags-jh23+ags-jh23b|ags|1988|1989|Christian Vanderpleyn (Technical Director); Michel Costa (Chief Designer)|Carbon fibre monocoque|||1988: Ford Cosworth DFZ, 3494 cc, naturally aspirated 90° V8. Longitudinal, mid-mounted.; 1989: Ford Cosworth DFR 3493 cc, V8, mid-engine, longitudinally, mid-mounted, NA.||||Hewland|6-speed||Elf|Elf|Goodyear|AGS JH22|AGS JH24|1988 Brazilian Grand Prix|JH23A: ; 580 bhp @ 10,500 rpm ; 434 N.m @ 8,000 rpm ; JH23B:; 630 bhp @ 11,250 rpm ; 542 N.m @ 8,000 rpm||580|510|2680|1710|1710||22||0|0|||
AGS JH24|ags-jh24|ags|1989|1990|Claude Galopin|Carbon fibre monocoque|||Ford Cosworth DFR 3493 cc, V8, mid-engine, longitudinally, mid-mounted, NA.|||||||Elf|Elf|Goodyear|AGS JH23|AGS JH25|1989 British Grand Prix|650 bhp @ 11,250 rpm ; 562 Nm @ 7,400 rpm||650|549|2794|1803|1803||10|0|0|0|||
AGS JH25B|ags-jh25+ags-jh25b|ags|1990|1991|Michel Costa (Technical Director)|Carbon fibre monocoque|||Ford Cosworth DFR|V8|NA|longitudinally mid-mounted|Hewland|6-speed||Elf||Goodyear|AGS JH25|AGS JH27|1991 United States Grand Prix|625 bhp @ 12,500 rpm ; 540 Nm @ 8,500 rpm|3493|625|505|2881|1800|1800||12|0|0|0|0|0|0
ATS D1|ats-wheels-d1|ats-wheels|1978|1978|John Gentry (Design Engineer) ; Gustav Brunner (Design Engineer)|Aluminium monocoque|||Ford-Cosworth DFV|90° V8|NA|mid-engine, longitudinally mounted|Hewland FGA400|5-speed||Shell||Goodyear|HS1|D2|1978 United States Grand Prix||2993||587|2718|1727|1727||2|0|0|0||0|0
ATS D2|ats-wheels-d2|ats-wheels|1979|1979|John Gentry (Technical Director) ; Giocomo Caliri (Chief Designer)|Aluminium alloy monocoque|||Ford-Cosworth DFV|90° V8|NA|mid-engine, longitudinally mounted|Hewland FGA400|5-speed||Shell||Goodyear|D1|D3|1979 Brazilian Grand Prix||2993||590|2731|1600|1600||7|0|0|0||0|0
ATS D5|ats-wheels-d5|ats-wheels|1982|1982|Hervé Guilpin (technical director); Tim Wadrop (chief designer); Don Halliday (head of design)|Aluminium monocoque|||Ford Cosworth DFV|90° V8|NA|mid-engine, longitudinally mounted|Hewland FGA 400|5-speed||Shell||Michelin/Avon|ATS D4|ATS D6|1981 Belgian Grand Prix||2993||585|2718|1826|1826||20|0|0|0||0|0
ATS D6|ats-wheels-d6|ats-wheels|1983|1983|Gustav Brunner (Chief Designer)|Carbon fibre monocoque|||BMW M12/13|Straight 4|turbo|mid-engine, longitudinally mounted|ATS / Hewland|5-speed||Shell||Goodyear|D5|D7|1983 Brazilian Grand Prix||1499|||2615|1727|1727||15|0|0|0||0|0
ATS D7|ats-wheels-d7|ats-wheels|1984|1984|Gustav Brunner (Technical Director); Stefan Fober (Chief Designer)|carbon fibre monocoque|Double wishbones, pull rod, coil springs|Double wishbones, pull rod, coil springs|BMW M12|Straight 4|turbocharger|mid-engine, longitudinally mounted|Team ATS / Hewland|5 speed||||Pirelli|ATS D6||1984 Brazilian Grand Prix||1499|||||||16|0|0|0||0|0
ATS HS1|ats-wheels-hs1|ats-wheels|1978|1978|John Gentry; Robin Herd|Aluminium monocoque|||Ford-Cosworth DFV|90° V8|NA|mid-engine, longitudinally mounted|Hewland FGA400|5-speed||Shell||Goodyear||D1 / D2|1978 Argentine Grand Prix||2993||585|2720||||16|0|0|0||0|0
Alfa Romeo 158/159 Alfetta|alfa-romeo-158|alfa-romeo|1950|1950|Gioacchino Colombo|Single-seater, tubular frame|Trailing arm, transverse leaf springs, hydraulic dampers|Swing axle*, transverse leaf spring, hydraulic dampers; <nowiki>*</nowiki>De-Dion-axle was one of the last modifications 1951.|Alfa Romeo 158/159|straight-8|Roots-type supercharger**||Alfa|5-speed||Shell (98.5% methanol, 1% Castor oil, 0.5% water)||Pirelli|Alfa Romeo Tipo 512|Alfa Special|1938 Coppa Ciano Junior (158); 1951 BRDC International Trophy (159)|||||2502|1250|1250||41|37|10|13||2|
Alfa Romeo 177|alfa-romeo-177|alfa-romeo|1979|1979|Carlo Chiti; Robert Choulet|Aluminium monocoque|||Alfa-Romeo 115-12|flat-12|naturally aspirated|mid-engined, longitudinally mounted|Hewland-Alfa Romeo|6||Agip||Goodyear|Alfa Special|179|1979 Belgian Grand Prix|493 bhp @ 9,700 rpm ; 377 Nm @ 3,900 rpm|2995|493|610|2740|1660|1660||3|0|0|0||0|0
