# Generated by tools/wikimedia_images.py --route category on 2026-09-17. Do not edit by hand.
# Source: a Wikimedia Commons category named for each chassis no article describes, via the Commons API.
# The claim is only that Commons editors filed the file there; the build holds these rows at 'catalogued'.
# Each file carries its OWN licence. No image is stored here or in the database.
# chassis_id|category|file_name|repository|licence|licence_url|artist|credit|description_url|width|height|name_matches
ags-jh21c|Category:AGS JH21C|File:AGS JH21C 1986 (27082681156).jpg|commons|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|Falcon® Photography from France|AGS JH21C 1986|https://commons.wikimedia.org/wiki/File:AGS_JH21C_1986_(27082681156).jpg|800|527|1
alfa-romeo-179b|Category:Alfa Romeo 179B|File:Alfa Romeo 179B, Museo Nazionale dell'Automobile di Torino (2).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|Tony Harrison from Farnborough, UK|IMG_7552|https://commons.wikimedia.org/wiki/File:Alfa_Romeo_179B,_Museo_Nazionale_dell%27Automobile_di_Torino_(2).jpg|800|533|1
alfa-romeo-179d|Category:Alfa Romeo 179D|File:Alfa Romeo 179D (32337384733) (2).jpg|commons|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|Falcon® Photography from France|Alfa Romeo F1|https://commons.wikimedia.org/wiki/File:Alfa_Romeo_179D_(32337384733)_(2).jpg|800|340|1
alpine-a524|Category:Alpine A524|File:2024 British Grand Prix, Gasly (1).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|Jen Ross|https://www.flickr.com/photos/69527563@N05/54041553997/|https://commons.wikimedia.org/wiki/File:2024_British_Grand_Prix,_Gasly_(1).jpg|800|407|0
alpine-a525|Category:Alpine A525|File:2025 Japan GP - Alpine - Ryo Hirakawa - FP1.jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Liauzh|Own work|https://commons.wikimedia.org/wiki/File:2025_Japan_GP_-_Alpine_-_Ryo_Hirakawa_-_FP1.jpg|800|450|0
alta-f2|Category:Alta F2|File:1952 Alta F2 at Silverstone Classic 2011.jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|David Merrett from Daventry, England|1952 Alta F2|https://commons.wikimedia.org/wiki/File:1952_Alta_F2_at_Silverstone_Classic_2011.jpg|800|531|1
amon-af101|Category:Amon AF101|File:Amon AF101 Ronnie Peterson Historic GP Anderstorp 2008 (2558747623).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|nakhon100|Amon|https://commons.wikimedia.org/wiki/File:Amon_AF101_Ronnie_Peterson_Historic_GP_Anderstorp_2008_(2558747623).jpg|800|600|1
aston-butterworth-nb42|Category:Aston Butterworth NB42|File:Aston Butterworth NB42 at Crystal Palace 2015.jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Eagleash|Own work|https://commons.wikimedia.org/wiki/File:Aston_Butterworth_NB42_at_Crystal_Palace_2015.jpg|800|600|1
aston-martin-amr23|Category:Aston Martin AMR23|File:2023 Aston Martin AMR23.jpg|commons|CC0|http://creativecommons.org/publicdomain/zero/1.0/deed.en|Calreyn88|Own work|https://commons.wikimedia.org/wiki/File:2023_Aston_Martin_AMR23.jpg|800|510|1
aston-martin-amr24|Category:Aston Martin AMR24|File:2024 Aston Martin AMR24.jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|MrWalkr|Own work|https://commons.wikimedia.org/wiki/File:2024_Aston_Martin_AMR24.jpg|800|429|1
aston-martin-amr25|Category:Aston Martin AMR25|File:2025 Japan GP - Aston Martin - AMR25 - Thursday.jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Liauzh|Own work|https://commons.wikimedia.org/wiki/File:2025_Japan_GP_-_Aston_Martin_-_AMR25_-_Thursday.jpg|800|450|1
aston-martin-amr26|Category:Aston Martin AMR26|File:2026 Chinese GP - Aston Martin - AMR26.jpg|commons|CC BY 4.0|https://creativecommons.org/licenses/by/4.0|Liauzh|Own work|https://commons.wikimedia.org/wiki/File:2026_Chinese_GP_-_Aston_Martin_-_AMR26.jpg|800|450|1
