# Generated by tools/osm_geometry.py --resolve on 2026-09-05. Do not edit by hand.
# Wikidata (CC0) for ids and coordinates; OpenStreetMap (ODbL 1.0) for the geometry measured here.
# CANDIDATES ONLY - nothing is used until it is admitted in data/circuits.py WIKIDATA_CIRCUITS.
# admissible = right country AND the traced centreline measures to the length this database already holds.
# circuit_id|wikidata_id|label|osm_relation|found_by|stated_km|measured_km|our_km|delta_pct|country|our_country|admissible
adelaide|Q83234|Adelaide Street Circuit|3121459|bbox:Adelaide Street Circuit|3.78|3.249|3.78|-14.05|Australia|Australia|0
aintree|Q19980026|Aintree Village|7623244|P402||10.729|4.828|122.21|United Kingdom|United Kingdom|0
albert-park|Q171288|Albert Park Circuit|280443|P402|5.278|5.308|5.278|0.58|Australia|Australia|1
albert-park|Q591771|Albert Park|2397461|P402||10.886|5.278|106.26|Australia|Australia|0
albert-park|Q5355023|Albert Park|3898651|P402||31.207|5.278|491.27|Australia|Australia|0
avus|Q155810|AVUS|7737313|bbox:Automobil-Verkehrs- und Übungsstraße|9.0|18.26|8.3|120.0|Germany|Germany|0
bahrain|Q171332|Bahrain International Circuit|284538|bbox:حلبة البحرين الدولية|5.412|5.42|5.412|0.14|Bahrain|Bahrain|1
baku|Q17004958|Baku City Circuit|11266687|bbox:Baku City Circuit|6.003|6.003|6.003|0.01|Azerbaijan|Azerbaijan|1
brands-hatch|Q172880|Brands Hatch|7218462|bbox:Brands Hatch Grand Prix|3.703|4.455|4.207|5.89|United Kingdom|United Kingdom|0
brands-hatch|Q172880|Brands Hatch|11248425|bbox:Brands Hatch Indy Circuit|3.703|2.486|4.207|-40.9|United Kingdom|United Kingdom|0
bremgarten|Q64139|Bremgarten|3411166|P402||22.522|7.28|209.37|Switzerland|Switzerland|0
bremgarten|Q68185|Bremgarten bei Bern|1682389|P402||7.856|7.28|7.91|Switzerland|Switzerland|0
bremgarten|Q598525|Bremgarten District|1685439|P402||86.149|7.28|1083.36|Switzerland|Switzerland|0
buddh|Q172906|Buddh International Circuit|2261609|bbox:Buddh International Circuit|5.137|8.223|5.125|60.44|India|India|0
buddh|Q172906|Buddh International Circuit|2532569|bbox:|5.137|5.136|5.125|0.21|India|India|1
buenos-aires|Q173116|Oscar and Juan Gálvez Race Track|392558|bbox:Autódromo Oscar Alfredo Gálvez||9.676|4.259|127.18|Argentina|Argentina|0
buenos-aires|Q173116|Oscar and Juan Gálvez Race Track|18299739|bbox:Circuito 1||1.131|4.259|-73.44|Argentina|Argentina|0
buenos-aires|Q173116|Oscar and Juan Gálvez Race Track|18299740|bbox:Circuito 2||1.097|4.259|-74.25|Argentina|Argentina|0
caesars-palace|Q786639|Caesar's Palace Circuit|16696508|bbox:Las Vegas Strip Circuit||6.323|3.65|73.22|United States|United States|0
caesars-palace|Q569978|Caesars Palace|16696508|bbox:Las Vegas Strip Circuit||6.323|3.65|73.22|United States|United States|0
catalunya|Q171404|Circuit de Barcelona-Catalunya|284540|bbox:Circuit de Catalunya GP FIM|4.675|5.9|4.657|26.7|Spain|Spain|0
catalunya|Q171404|Circuit de Barcelona-Catalunya|2049529|bbox:Circuit de Catalunya GP FIA|4.675|4.864|4.657|4.44|Spain|Spain|0
catalunya|Q171404|Circuit de Barcelona-Catalunya|11362868|bbox:World RX of Barcelona|4.675|5.46|4.657|17.25|Spain|Spain|0
catalunya|Q171404|Circuit de Barcelona-Catalunya|19573765|bbox:Offroad Circuit de Catalunya|4.675|1.605|4.657|-65.53|Spain|Spain|0
catalunya|Q18020827|Circuit de Barcelona-Catalunya Heliport|284540|bbox:Circuit de Catalunya GP FIM||5.9|4.657|26.7|Spain|Spain|0
catalunya|Q18020827|Circuit de Barcelona-Catalunya Heliport|2049529|bbox:Circuit de Catalunya GP FIA||4.864|4.657|4.44|Spain|Spain|0
catalunya|Q18020827|Circuit de Barcelona-Catalunya Heliport|11362868|bbox:World RX of Barcelona||5.46|4.657|17.25|Spain|Spain|0
catalunya|Q18020827|Circuit de Barcelona-Catalunya Heliport|19573765|bbox:Offroad Circuit de Catalunya||1.605|4.657|-65.53|Spain|Spain|0
cota|Q59626|Circuit of the Americas|6537729|bbox:Circuit of the Americas|5.513|5.502|5.513|-0.2|United States|United States|1
detroit|Q172887|Detroit street circuit|17665938|bbox:Detroit Grand Prix|4.012|2.679|4.023|-33.41|United States|United States|0
dijon|Q172888|Dijon-Prenois|11508049|bbox:Circuit Dijon-Prenois|3.289|4.464|3.8|17.46|France|France|0
dijon|Q172888|Dijon-Prenois|14474019|bbox:Dijon Racetrack|3.289|3.723|3.8|-2.04|France|France|0
donington|Q173202||51164|bbox:Donington Park National||3.283|4.023|-18.39|United Kingdom|United Kingdom|0
donington|Q173202||51165|bbox:Donington Park Grand Prix||3.995|4.023|-0.69|United Kingdom|United Kingdom|1
donington|Q48797299|Donington Park SSSI|51164|bbox:Donington Park National||3.283|4.023|-18.39|United Kingdom|United Kingdom|0
donington|Q48797299|Donington Park SSSI|51165|bbox:Donington Park Grand Prix||3.995|4.023|-0.69|United Kingdom|United Kingdom|1
east-london|Q172865|Prince George Circuit|2579523|bbox:Prince George Circuit|3.92|3.9|3.92|-0.52|South Africa|South Africa|1
estoril|Q172890|Circuito do Estoril|11266675|bbox:Circuito do Estoril|4.36|5.194|4.36|19.13|Portugal|Portugal|0
estoril|Q172890|Circuito do Estoril|16062257|bbox:Autódromo do Estoril|4.36|3.918|4.36|-10.15|Portugal|Portugal|0
gilles-villeneuve|Q172860|Circuit Gilles Villeneuve|284595|P402|4.361|4.362|4.361|0.03|Canada|Canada|1
hockenheim|Q152408|Hockenheimring|284588|bbox:Hockenheimring Grand Prix Circuit|4.574|5.429|4.574|18.69|Germany|Germany|0
hockenheim|Q152408|Hockenheimring|2215776|bbox:Hockenheimring Baden-Württemberg|4.574|6.1|4.574|33.37|Germany|Germany|0
hockenheim|Q1949988|Hockenheimring Motor-Sport-Museum|284588|bbox:Hockenheimring Grand Prix Circuit||5.429|4.574|18.69|Germany|Germany|0
hockenheim|Q1949988|Hockenheimring Motor-Sport-Museum|2215776|bbox:Hockenheimring Baden-Württemberg||6.1|4.574|33.37|Germany|Germany|0
hungaroring|Q171356|Hungaroring|3938368|P402|4.381|5.528|4.381|26.18|Hungary|Hungary|0
hungaroring|Q171356|Hungaroring|284557|bbox:Hungaroring|4.381|5.434|4.381|24.04|Hungary|Hungary|0
hungaroring|Q171356|Hungaroring|3938368|bbox:Hungaroring|4.381|5.528|4.381|26.18|Hungary|Hungary|0
hungaroring|Q25851200|Hungaroring HÉV station|284557|bbox:Hungaroring||5.434|4.381|24.04|Hungary|Hungary|0
hungaroring|Q25851200|Hungaroring HÉV station|3938368|bbox:Hungaroring||5.528|4.381|26.18|Hungary|Hungary|0
imola|Q171313|Imola Circuit|9291096|bbox:Autodromo Internazionale Enzo e Dino Fer|4.909|5.073|4.909|3.35|Italy|Italy|0
imola|Q171313|Imola Circuit|13706843|bbox:Autodromo Internazionale Enzo e Dino Fer|4.909|11.296|4.909|130.11|Italy|Italy|0
indianapolis|Q172732|Indianapolis Motor Speedway|20573682|bbox:Indianapolis Motor Speedway 2026|4.023|4.071|4.192|-2.88|United States|United States|0
indianapolis|Q172732|Indianapolis Motor Speedway|20573734|bbox:Indianapolis RC 2026|4.023|3.911|4.192|-6.7|United States|United States|0
indianapolis|Q172732|Indianapolis Motor Speedway|20576994|bbox:Indianapolis Pitlane|4.023|3.37|4.192|-19.6|United States|United States|0
indianapolis|Q6023901|Indianapolis Motor Speedway Museum|20573682|bbox:Indianapolis Motor Speedway 2026||4.071|4.192|-2.88|United States|United States|0
indianapolis|Q6023901|Indianapolis Motor Speedway Museum|20573734|bbox:Indianapolis RC 2026||3.911|4.192|-6.7|United States|United States|0
indianapolis|Q6023901|Indianapolis Motor Speedway Museum|20576994|bbox:Indianapolis Pitlane||3.37|4.192|-19.6|United States|United States|0
interlagos|Q171387|Autódromo José Carlos Pace|2560355|P402|4.309|4.092|4.309|-5.03|Brazil|Brazil|0
interlagos|Q171387|Autódromo José Carlos Pace|2560355|bbox:Autódromo José Carlos Pace|4.309|4.092|4.309|-5.03|Brazil|Brazil|0
interlagos|Q171387|Autódromo José Carlos Pace|6781071|bbox:Autódromo José Carlos Pace|4.309|4.308|4.309|-0.03|Brazil|Brazil|1
jacarepagua|Q2618570|Jacarepaguá|5520320|P402||74.167|5.031|1374.21|Brazil|Brazil|0
las-vegas|Q113112116|Las Vegas Strip Circuit|16696508|P402||6.323|6.201|1.96|United States|United States|1
le-mans-bugatti|Q928721|Bugatti Circuit|2725877|bbox:Circuit Bugatti||4.164|4.422|-5.85|France|France|0
le-mans-bugatti|Q174090|Circuit de la Sarthe|2725877|bbox:Circuit Bugatti||4.164|4.422|-5.85|France|France|0
long-beach|Q16739|Long Beach|112100|P402||103.466|3.251|3082.6|United States|United States|0
long-beach|Q40209|Long Beach|174454|P402||13.963|3.251|329.49|United States|United States|0
long-beach|Q601477|Long Beach|4486886|P402||24.523|3.251|654.33|United States|United States|0
long-beach|Q1008919|Long Beach|237962|P402||11.277|3.251|246.89|United States|United States|0
long-beach|Q173889|Long Beach Street Circuit|18052024|bbox:Long Beach Grand Prix Course||3.258|3.251|0.23|United States|United States|1
long-beach|Q16739|Long Beach|18052024|bbox:Long Beach Grand Prix Course||3.258|3.251|0.23|United States|United States|1
magny-cours|Q172876|Circuit de Nevers Magny-Cours|11249753|bbox:Circuit de Nevers Magny-Cours|2.684|4.458|4.411|1.06|France|France|1
marina-bay|Q171390|Marina Bay Street Circuit|421263|P402||5.792|4.94|17.24|Singapore|Singapore|0
marina-bay|Q171390|Marina Bay Street Circuit|421263|bbox:Marina Bay Street Circuit||5.792|4.94|17.24|Singapore|Singapore|0
monaco|Q171400|Circuit de Monaco|148194|P402|3.337|3.388|3.337|1.54|Monaco|Monaco|1
montjuic|Q172892|Montjuïc circuit|1147249|P402|3.79|3.767|3.791|-0.63|Spain|Spain|1
montjuic|Q1122701|Montjuïc|1165307|P402||8.763|3.791|131.16|Spain|Spain|0
monza|Q171417|Monza Circuit|284565|bbox:Autodromo Nazionale di Monza|5.793|5.794|5.793|0.02|Italy|Italy|1
mugello|Q782455|Mugello Circuit|7622830|bbox:Autodromo del Mugello|5.245|6.505|5.245|24.02|Italy|Italy|0
mugello|Q782455|Mugello Circuit|8487163|bbox:Autodromo Internazionale Mugello|5.245|5.245|5.245|-0.0|Italy|Italy|1
nordschleife|Q896797|Nordschleife Nürburgring|38567|bbox:Nürburgring Grand Prix Strecke||5.116|22.835|-77.6|Germany|Germany|0
nurburgring-gp|Q152207|Nürburgring|38567|bbox:Nürburgring Grand Prix Strecke|5.148|5.116|5.148|-0.63|Germany|Germany|1
nurburgring-gp|Q115125370|Nürburgring Grand Prix Track|38567|bbox:Nürburgring Grand Prix Strecke|5.148|5.116|5.148|-0.63|Germany|Germany|1
nurburgring-sudschleife|Q469590|Südschleife|38567|bbox:Nürburgring Grand Prix Strecke||5.116|7.747|-33.97|Germany|Germany|0
paul-ricard|Q171424|Circuit Paul Ricard|10316343|bbox:Circuit Paul Ricard Piste GP|5.842|5.764|5.842|-1.33|France|France|1
pedralbes|Q2562684|Pedralbes|4130192|P402||8.451|6.316|33.8|Spain|Spain|0
pescara|Q2704|Pescara|42014|P402||40.062|25.579|56.62|Italy|Italy|0
pescara|Q16242|Province of Pescara|41778|P402||219.025|25.579|756.27|Italy|Italy|0
pescara|Q1432361|Abruzzo Airport|12640328|P402||8.212|25.579|-67.9|Italy|Italy|0
portimao|Q789427|Autódromo Internacional do Algarve|7509968|bbox:Algarve International Circuit|4.653|4.648|4.653|-0.12|Portugal|Portugal|1
porto|Q887613|Boavista dos Pinheiros|6437445|P402||51.546|7.407|595.91|Portugal|Portugal|0
red-bull-ring|Q171566|Red Bull Ring|5309181|bbox:Red Bull Ring|4.318|5.816|4.318|34.68|Austria|Austria|0
red-bull-ring|Q171566|Red Bull Ring|8062336|bbox:|4.318|2.373|4.318|-45.04|Austria|Austria|0
riverside|Q49243|Riverside|11051996|P402||104.38|5.271|1880.27|United States|United States|0
riverside|Q614798|Riverside|133471|P402||12.131|5.271|130.15|United States|United States|0
riverside|Q108111|Riverside County|396495|P402||756.693|5.271|14255.78|United States|United States|0
rodriguez|Q173099|Autódromo Hermanos Rodríguez|10715575|bbox:Mexico City E-Prix|4.304|2.616|4.304|-39.22|Mexico|Mexico|0
