# Generated by tools/f1db_fetch.py. Do not edit by hand.
# Source: F1DB v2026.13.0 (5d0a446b), https://github.com/f1db/f1db, CC BY 4.0.
# constructor_id|name|full_name|country_id
adams|Adams|Adams|united-states-of-america
afm|AFM|Alex von Falkenhausen Motorenbau|germany
ags|AGS|Automobiles Gonfaronnaises Sportives|france
alfa-romeo|Alfa Romeo|Alfa Romeo Racing|italy
alfa-special|Alfa Special|Alfa Special|south-africa
alphatauri|AlphaTauri|Scuderia AlphaTauri|italy
alpine|Alpine|Alpine F1 Team|france
alta|Alta|Alta Car and Engineering Company|united-kingdom
amon|Amon|Chris Amon Racing|new-zealand
andrea-moda|Andrea Moda|Andrea Moda Formula|italy
apollon|Apollon|Apollon|switzerland
arrows|Arrows|Arrows Grand Prix International|united-kingdom
arzani-volpini|Arzani-Volpini|Scuderia Arzani-Volpini|italy
aston-butterworth|Aston Butterworth|Aston Butterworth|united-kingdom
aston-martin|Aston Martin|Aston Martin|united-kingdom
ats-wheels|ATS|ATS Wheels|germany
ats|ATS|Automobili Turismo e Sport|italy
audi|Audi|Audi|germany
balsa|Balsa|Balsa|germany
bar|BAR|British American Racing|united-kingdom
behra-porsche|Behra-Porsche|Behra-Porsche|germany
bellasi|Bellasi|Bellasi|italy
benetton|Benetton|Benetton Formula|italy
bmw-sauber|BMW Sauber|BMW Sauber F1 Team|germany
bmw|BMW|BMW|germany
boro|Boro|Boro|netherlands
brabham|Brabham|Motor Racing Developments|united-kingdom
brawn|Brawn|Brawn GP Formula One Team|united-kingdom
brm|BRM|British Racing Motors|united-kingdom
bromme|Bromme|Bromme|united-states-of-america
brp|BRP|British Racing Partnership|united-kingdom
bugatti|Bugatti|Bugatti|france
cadillac|Cadillac|Cadillac|united-states-of-america
caterham|Caterham|Caterham F1 Team|malaysia
christensen|Christensen|Christensen|united-states-of-america
cisitalia|Cisitalia|Cisitalia|italy
coloni|Coloni|Scuderia Coloni|italy
connaught|Connaught|Connaught Engineering|united-kingdom
connew|Connew|Connew Racing Team|united-kingdom
cooper|Cooper|Cooper Car Company|united-kingdom
dallara|Dallara|Dallara Automobili|italy
de-tomaso|De Tomaso|De Tomaso Modena|italy
deidt|Deidt|Deidt|united-states-of-america
del-roy|Del Roy|Del Roy|united-states-of-america
derrington-francis|Derrington-Francis|Derrington-Francis Racing Team|united-kingdom
dunn|Dunn|Dunn|united-states-of-america
eagle|Eagle|All American Racers|united-states-of-america
eifelland|Eifelland|Team Eifelland Caravans|germany
elder|Elder|Elder|united-states-of-america
emeryson|Emeryson|Emeryson Cars|united-kingdom
emw|EMW|Eisenacher Motorenwerk|germany
enb|ENB|Ecurie National Belge|belgium
ensign|Ensign|Ensign Racing|united-kingdom
epperly|Epperly|Epperly|united-states-of-america
era|ERA|English Racing Automobiles|united-kingdom
eurobrun|EuroBrun|EuroBrun Racing|italy
ewing|Ewing|Ewing|united-states-of-america
ferguson|Ferguson|Harry Ferguson Research|united-kingdom
ferrari|Ferrari|Scuderia Ferrari|italy
first|FIRST|FIRST Racing|italy
fittipaldi|Fittipaldi|Fittipaldi Automotive|brazil
fondmetal|Fondmetal|Fondmetal|italy
footwork|Footwork|Footwork Arrows|united-kingdom
force-india|Force India|Force India F1 Team|india
forti|Forti|Forti Corse|italy
frank-williams-racing-cars|Frank Williams Racing Cars|Frank Williams Racing Cars|united-kingdom
frazer-nash|Frazer-Nash|Frazer-Nash|united-kingdom
fry|Fry|Fry Racing Team|united-kingdom
gilby|Gilby|Gilby Engineering|united-kingdom
gordini|Gordini|Gordini|france
greifzu|Greifzu|Greifzu|germany
haas|Haas|Haas F1 Team|united-states-of-america
hall|Hall|Hall|united-states-of-america
heck|Heck|Heck|germany
hesketh|Hesketh|Hesketh Racing|united-kingdom
hill|Hill|Embassy Racing With Graham Hill|united-kingdom
honda|Honda|Honda Racing F1 Team|japan
hrt|HRT|Hispania Racing Team|spain
hwm|HWM|Hersham and Walton Motors|united-kingdom
