# Generated by tools/f1db_fetch.py. Do not edit by hand.
# Source: F1DB v2026.13.0 (5d0a446b), https://github.com/f1db/f1db, CC BY 4.0.
# country_id|name|alpha3|demonym
afghanistan|Afghanistan|AFG|Afghan
aland-islands|Åland Islands|ALA|Ålandic
albania|Albania|ALB|Albanian
algeria|Algeria|DZA|Algerian
american-samoa|American Samoa|ASM|Samoan
andorra|Andorra|AND|Andorran
angola|Angola|AGO|Angolan
anguilla|Anguilla|AIA|Anguillan
antarctica|Antarctica|ATA|Antarctican
antigua-and-barbuda|Antigua and Barbuda|ATG|Antiguan
argentina|Argentina|ARG|Argentine
armenia|Armenia|ARM|Armenian
aruba|Aruba|ABW|Arubian
australia|Australia|AUS|Australian
austria|Austria|AUT|Austrian
azerbaijan|Azerbaijan|AZE|Azerbaijanian
bahamas|Bahamas|BHS|Bahamian
bahrain|Bahrain|BHR|Bahraini
bangladesh|Bangladesh|BGD|Bangladeshi
barbados|Barbados|BRB|Barbadian
belarus|Belarus|BLR|Belarusian
belgium|Belgium|BEL|Belgian
belize|Belize|BLZ|Belizean
benin|Benin|BEN|Beninese
bermuda|Bermuda|BMU|Bermudian
bhutan|Bhutan|BTN|Bhutanese
bolivia|Bolivia|BOL|Bolivian
bonaire|Bonaire|BES|Bonairian
bosnia-and-herzegovina|Bosnia and Herzegovina|BIH|Bosnian
botswana|Botswana|BWA|Motswana
bouvet-island|Bouvet Island|BVT|
brazil|Brazil|BRA|Brazilian
british-indian-ocean-territory|British Indian Ocean Territory|IOT|
british-virgin-islands|British Virgin Islands|VGB|Virgin Islander
brunei|Brunei|BRN|Bruneian
bulgaria|Bulgaria|BGR|Bulgarian
burkina-faso|Burkina Faso|BFA|Burkinabe
burundi|Burundi|BDI|Burundian
cambodia|Cambodia|KHM|Cambodian
cameroon|Cameroon|CMR|Cameroonian
canada|Canada|CAN|Canadian
cape-verde|Cape Verde|CPV|Cape Verdean
cayman-islands|Cayman Islands|CYM|Caymanian
central-african-republic|Central African Republic|CAF|Central African
chad|Chad|TCD|Chadian
chile|Chile|CHL|Chilean
china|China|CHN|Chinese
christmas-island|Christmas Island|CXR|Christmas Islander
cocos-keeling-islands|Cocos (Keeling) Islands|CCK|Cocossian
colombia|Colombia|COL|Colombian
comoros|Comoros|COM|Comoran
cook-islands|Cook Islands|COK|Cook Islander
costa-rica|Costa Rica|CRI|Costa Rican
croatia|Croatia|HRV|Croatian
cuba|Cuba|CUB|Cuban
curacao|Curaçao|CUW|Curaçaoan
cyprus|Cyprus|CYP|Cypriot
czechia|Czechia|CZE|Czech
democratic-republic-of-the-congo|Democratic Republic of the Congo|COD|Congolese
denmark|Denmark|DNK|Danish
djibouti|Djibouti|DJI|Djiboutian
dominican-republic|Dominican Republic|DOM|Dominican
dominica|Dominica|DMA|Dominican
east-timor|East Timor|TLS|East Timorese
ecuador|Ecuador|ECU|Ecuadorian
egypt|Egypt|EGY|Egyptian
el-salvador|El Salvador|SLV|Salvadoran
equatorial-guinea|Equatorial Guinea|GNQ|Equatorial Guinean
eritrea|Eritrea|ERI|Eritrean
estonia|Estonia|EST|Estonian
eswatini|Eswatini|SWZ|Swazi
ethiopia|Ethiopia|ETH|Ethiopian
falkland-islands|Falkland Islands|FLK|Falkland Islander
faroe-islands|Faroe Islands|FRO|Faroese
federated-states-of-micronesia|Federated States of Micronesia|FSM|Micronesian
fiji|Fiji|FJI|Fijian
finland|Finland|FIN|Finnish
france|France|FRA|French
french-guiana|French Guiana|GUF|French Guianese
french-polynesia|French Polynesia|PYF|French Polynesian
french-southern-territories|French Southern Territories|ATF|French
gabon|Gabon|GAB|Gabonese
gambia|Gambia|GMB|Gambian
georgia|Georgia|GEO|Georgian
germany|Germany|DEU|German
ghana|Ghana|GHA|Ghanaian
gibraltar|Gibraltar|GIB|Gibraltarian
greece|Greece|GRC|Greek
greenland|Greenland|GRL|Greenlander
grenada|Grenada|GRD|Grenadian
guadeloupe|Guadeloupe|GLP|Guadeloupean
guam|Guam|GUM|Guamanian
guatemala|Guatemala|GTM|Guatemalan
guernsey|Guernsey|GGY|Sarnian
guinea-bissau|Guinea-Bissau|GNB|Guinean
guinea|Guinea|GIN|Guinean
guyana|Guyana|GUY|Guyanese
haiti|Haiti|HTI|Haitian
heard-island-and-mcdonald-islands|Heard Island and McDonald Islands|HMD|
honduras|Honduras|HND|Honduran
hong-kong|Hong Kong|HKG|Hongkongese
hungary|Hungary|HUN|Hungarian
iceland|Iceland|ISL|Icelander
india|India|IND|Indian
