# Generated by tools/f1db_fetch.py. Do not edit by hand.
# Source: F1DB v2026.13.0 (5d0a446b), https://github.com/f1db/f1db, CC BY 4.0.
# year|round|date   (ISO 8601, the day the race was held)
1950|1|1950-05-13
1950|2|1950-05-21
1950|3|1950-05-30
1950|4|1950-06-04
1950|5|1950-06-18
1950|6|1950-07-02
1950|7|1950-09-03
1951|1|1951-05-27
1951|2|1951-05-30
1951|3|1951-06-17
1951|4|1951-07-01
1951|5|1951-07-14
1951|6|1951-07-29
1951|7|1951-09-16
1951|8|1951-10-28
1952|1|1952-05-18
1952|2|1952-05-30
1952|3|1952-06-22
1952|4|1952-07-06
1952|5|1952-07-19
1952|6|1952-08-03
1952|7|1952-08-17
1952|8|1952-09-07
1953|1|1953-01-18
1953|2|1953-05-30
1953|3|1953-06-07
1953|4|1953-06-21
1953|5|1953-07-05
1953|6|1953-07-18
1953|7|1953-08-02
1953|8|1953-08-23
1953|9|1953-09-13
1954|1|1954-01-17
1954|2|1954-05-31
1954|3|1954-06-20
1954|4|1954-07-04
1954|5|1954-07-17
1954|6|1954-08-01
1954|7|1954-08-22
1954|8|1954-09-05
1954|9|1954-10-24
1955|1|1955-01-16
1955|2|1955-05-22
1955|3|1955-05-30
1955|4|1955-06-05
1955|5|1955-06-19
1955|6|1955-07-16
1955|7|1955-09-11
1956|1|1956-01-22
1956|2|1956-05-13
1956|3|1956-05-30
1956|4|1956-06-03
1956|5|1956-07-01
1956|6|1956-07-14
1956|7|1956-08-05
1956|8|1956-09-02
1957|1|1957-01-13
1957|2|1957-05-19
1957|3|1957-05-30
1957|4|1957-07-07
1957|5|1957-07-20
1957|6|1957-08-04
1957|7|1957-08-18
1957|8|1957-09-08
1958|1|1958-01-19
1958|2|1958-05-18
1958|3|1958-05-26
1958|4|1958-05-30
1958|5|1958-06-15
1958|6|1958-07-06
1958|7|1958-07-19
1958|8|1958-08-03
1958|9|1958-08-24
1958|10|1958-09-07
1958|11|1958-10-19
1959|1|1959-05-10
1959|2|1959-05-30
1959|3|1959-05-31
1959|4|1959-07-05
1959|5|1959-07-18
1959|6|1959-08-02
1959|7|1959-08-23
1959|8|1959-09-13
1959|9|1959-12-12
1960|1|1960-02-07
1960|2|1960-05-29
1960|3|1960-05-30
1960|4|1960-06-06
1960|5|1960-06-19
1960|6|1960-07-03
1960|7|1960-07-16
1960|8|1960-08-14
1960|9|1960-09-04
1960|10|1960-11-20
1961|1|1961-05-14
1961|2|1961-05-22
1961|3|1961-06-18
1961|4|1961-07-02
1961|5|1961-07-15
1961|6|1961-08-06
1961|7|1961-09-10
1961|8|1961-10-08
1962|1|1962-05-20
1962|2|1962-06-03
1962|3|1962-06-17
1962|4|1962-07-08
1962|5|1962-07-21
1962|6|1962-08-05
1962|7|1962-09-16
1962|8|1962-10-07
1962|9|1962-12-29
1963|1|1963-05-26
1963|2|1963-06-09
1963|3|1963-06-23
1963|4|1963-06-30
1963|5|1963-07-20
1963|6|1963-08-04
1963|7|1963-09-08
1963|8|1963-10-06
1963|9|1963-10-27
1963|10|1963-12-28
1964|1|1964-05-10
1964|2|1964-05-24
1964|3|1964-06-14
1964|4|1964-06-28
1964|5|1964-07-11
1964|6|1964-08-02
1964|7|1964-08-23
1964|8|1964-09-06
1964|9|1964-10-04
1964|10|1964-10-25
1965|1|1965-01-01
1965|2|1965-05-30
1965|3|1965-06-13
1965|4|1965-06-27
1965|5|1965-07-10
1965|6|1965-07-18
1965|7|1965-08-01
1965|8|1965-09-12
1965|9|1965-10-03
1965|10|1965-10-24
1966|1|1966-05-22
1966|2|1966-06-12
1966|3|1966-07-03
1966|4|1966-07-16
1966|5|1966-07-24
1966|6|1966-08-07
1966|7|1966-09-04
1966|8|1966-10-02
1966|9|1966-10-23
1967|1|1967-01-02
1967|2|1967-05-07
1967|3|1967-06-04
1967|4|1967-06-18
1967|5|1967-07-02
1967|6|1967-07-15
1967|7|1967-08-06
1967|8|1967-08-27
1967|9|1967-09-10
1967|10|1967-10-01
1967|11|1967-10-22
1968|1|1968-01-01
1968|2|1968-05-12
1968|3|1968-05-26
1968|4|1968-06-09
1968|5|1968-06-23
1968|6|1968-07-07
1968|7|1968-07-20
1968|8|1968-08-04
1968|9|1968-09-08
1968|10|1968-09-22
1968|11|1968-10-06
1968|12|1968-11-03
1969|1|1969-03-01
1969|2|1969-05-04
1969|3|1969-05-18
1969|4|1969-06-21
1969|5|1969-07-06
1969|6|1969-07-19
1969|7|1969-08-03
1969|8|1969-09-07
1969|9|1969-09-20
1969|10|1969-10-05
1969|11|1969-10-19
1970|1|1970-03-07
1970|2|1970-04-19
1970|3|1970-05-10
1970|4|1970-06-07
1970|5|1970-06-21
1970|6|1970-07-05
1970|7|1970-07-18
1970|8|1970-08-02
1970|9|1970-08-16
