# Generated by tools/f1db_fetch.py. Do not edit by hand.
# Source: F1DB v2026.14.0 (1e000821), https://github.com/f1db/f1db, CC BY 4.0.
# year|round|layout_id   (the F1DB circuit layout the race ran)
1950|1|silverstone-1
1950|2|monaco-1
1950|3|indianapolis-1
1950|4|bremgarten-1
1950|5|spa-francorchamps-1
1950|6|reims-1
1950|7|monza-1
1951|1|bremgarten-1
1951|2|indianapolis-1
1951|3|spa-francorchamps-1
1951|4|reims-1
1951|5|silverstone-1
1951|6|nurburgring-1
1951|7|monza-1
1951|8|pedralbes-1
1952|1|bremgarten-1
1952|2|indianapolis-1
1952|3|spa-francorchamps-1
1952|4|rouen-1
1952|5|silverstone-1
1952|6|nurburgring-1
1952|7|zandvoort-1
1952|8|monza-1
1953|1|buenos-aires-1
1953|2|indianapolis-1
1953|3|zandvoort-1
1953|4|spa-francorchamps-1
1953|5|reims-2
1953|6|silverstone-1
1953|7|nurburgring-1
1953|8|bremgarten-1
1953|9|monza-1
1954|1|buenos-aires-1
1954|2|indianapolis-1
1954|3|spa-francorchamps-1
1954|4|reims-2
1954|5|silverstone-1
1954|6|nurburgring-1
1954|7|bremgarten-1
1954|8|monza-1
1954|9|pedralbes-1
1955|1|buenos-aires-1
1955|2|monaco-2
1955|3|indianapolis-1
1955|4|spa-francorchamps-1
1955|5|zandvoort-1
1955|6|aintree-1
1955|7|monza-2
1956|1|buenos-aires-1
1956|2|monaco-2
1956|3|indianapolis-1
1956|4|spa-francorchamps-1
1956|5|reims-2
1956|6|silverstone-1
1956|7|nurburgring-1
1956|8|monza-2
1957|1|buenos-aires-1
1957|2|monaco-2
1957|3|indianapolis-1
1957|4|rouen-2
1957|5|aintree-1
1957|6|nurburgring-1
1957|7|pescara-1
1957|8|monza-3
1958|1|buenos-aires-1
1958|2|monaco-2
1958|3|zandvoort-1
1958|4|indianapolis-1
1958|5|spa-francorchamps-1
1958|6|reims-2
1958|7|silverstone-1
1958|8|nurburgring-1
1958|9|porto-1
1958|10|monza-3
1958|11|ain-diab-1
1959|1|monaco-2
1959|2|indianapolis-1
1959|3|zandvoort-1
1959|4|reims-2
1959|5|aintree-1
1959|6|avus-1
1959|7|monsanto-1
1959|8|monza-3
1959|9|sebring-1
1960|1|buenos-aires-1
1960|2|monaco-2
1960|3|indianapolis-1
1960|4|zandvoort-1
1960|5|spa-francorchamps-1
1960|6|reims-2
1960|7|silverstone-1
1960|8|porto-1
1960|9|monza-2
1960|10|riverside-1
1961|1|monaco-2
1961|2|zandvoort-1
1961|3|spa-francorchamps-1
1961|4|reims-2
1961|5|aintree-1
1961|6|nurburgring-1
1961|7|monza-2
1961|8|watkins-glen-1
1962|1|zandvoort-1
1962|2|monaco-2
1962|3|spa-francorchamps-1
1962|4|rouen-2
1962|5|aintree-1
1962|6|nurburgring-1
1962|7|monza-3
1962|8|watkins-glen-1
1962|9|east-london-1
1963|1|monaco-2
1963|2|spa-francorchamps-1
1963|3|zandvoort-1
1963|4|reims-2
1963|5|silverstone-1
1963|6|nurburgring-1
1963|7|monza-3
1963|8|watkins-glen-1
1963|9|mexico-city-1
1963|10|east-london-1
1964|1|monaco-2
1964|2|zandvoort-1
1964|3|spa-francorchamps-1
1964|4|rouen-2
1964|5|brands-hatch-1
1964|6|nurburgring-1
1964|7|zeltweg-1
1964|8|monza-3
1964|9|watkins-glen-1
1964|10|mexico-city-1
1965|1|east-london-1
1965|2|monaco-2
1965|3|spa-francorchamps-1
1965|4|clermont-ferrand-1
1965|5|silverstone-1
1965|6|zandvoort-1
1965|7|nurburgring-1
1965|8|monza-3
1965|9|watkins-glen-1
1965|10|mexico-city-1
1966|1|monaco-2
1966|2|spa-francorchamps-1
1966|3|reims-2
1966|4|brands-hatch-1
1966|5|zandvoort-1
1966|6|nurburgring-1
1966|7|monza-3
1966|8|watkins-glen-1
1966|9|mexico-city-1
1967|1|kyalami-1
1967|2|monaco-2
1967|3|zandvoort-1
1967|4|spa-francorchamps-1
1967|5|bugatti-1
1967|6|silverstone-1
1967|7|nurburgring-1
1967|8|mosport-1
1967|9|monza-3
1967|10|watkins-glen-1
1967|11|mexico-city-1
1968|1|kyalami-1
1968|2|jarama-1
1968|3|monaco-2
1968|4|spa-francorchamps-1
1968|5|zandvoort-1
1968|6|rouen-2
1968|7|brands-hatch-1
1968|8|nurburgring-1
1968|9|monza-3
1968|10|mont-tremblant-1
1968|11|watkins-glen-1
1968|12|mexico-city-1
1969|1|kyalami-1
1969|2|montjuic-1
1969|3|monaco-2
1969|4|zandvoort-1
1969|5|clermont-ferrand-1
1969|6|silverstone-1
1969|7|nurburgring-1
1969|8|monza-3
1969|9|mosport-1
1969|10|watkins-glen-1
1969|11|mexico-city-1
1970|1|kyalami-1
1970|2|jarama-1
1970|3|monaco-2
1970|4|spa-francorchamps-1
1970|5|zandvoort-1
1970|6|clermont-ferrand-1
1970|7|brands-hatch-1
1970|8|hockenheimring-1
1970|9|spielberg-1
1970|10|monza-3
1970|11|mont-tremblant-1
1970|12|watkins-glen-1
1970|13|mexico-city-1
1971|1|kyalami-1
1971|2|montjuic-1
1971|3|monaco-2
1971|4|zandvoort-1
1971|5|paul-ricard-1
1971|6|silverstone-1
1971|7|nurburgring-1
1971|8|spielberg-1
1971|9|monza-3
1971|10|mosport-1
1971|11|watkins-glen-2
1972|1|buenos-aires-2
1972|2|kyalami-1
1972|3|jarama-1
1972|4|monaco-2
1972|5|nivelles-1
1972|6|clermont-ferrand-1
1972|7|brands-hatch-1
1972|8|nurburgring-1
1972|9|spielberg-1
1972|10|monza-4
1972|11|mosport-1
1972|12|watkins-glen-2
1973|1|buenos-aires-2
1973|2|interlagos-1
1973|3|kyalami-1
1973|4|montjuic-1
1973|5|zolder-1
1973|6|monaco-3
1973|7|anderstorp-1
1973|8|paul-ricard-1
1973|9|silverstone-1
1973|10|zandvoort-2
1973|11|nurburgring-1
1973|12|spielberg-1
1973|13|monza-4
1973|14|mosport-1
1973|15|watkins-glen-2
1974|1|buenos-aires-3
1974|2|interlagos-1
1974|3|kyalami-1
1974|4|jarama-1
1974|5|nivelles-1
1974|6|monaco-3
1974|7|anderstorp-1
1974|8|zandvoort-2
